site,trophic_category,species,trophic_level_fbase,size_max,guild,carbon,hydrogen,nitrogen,hydrogen_water,W,W_sd,W_compound,hydrogen_raw,kingdom
Sub-Humid,F-Invertivore,A.natalis,3.33,160,Fish,-27.83340329,-82.70964939946938,8.79885972,-6.45,0.173,0.122,0.46875785465590836,-85.733137562,Animal
Sub-Humid,F-Invertivore,A.natalis,3.33,160,Fish,-27.53878445,-69.66573239746938,8.960696811,-6.45,0.173,0.122,0.46875785465590836,-72.68922056,Animal
Sub-Humid,F-Invertivore,A.natalis,3.33,200,Fish,-27.13291093,-94.72397148746938,9.460368828,-6.45,0.173,0.122,0.46875785465590836,-97.74745965,Animal
Sub-Humid,F-Invertivore,A.natalis,3.33,200,Fish,-27.69742536,-84.30612152746939,8.552058157,-6.45,0.173,0.122,0.46875785465590836,-87.32960969,Animal
Sub-Humid,F-Invertivore,A.natalis,3.33,80,Fish,-29.07265668,-88.22116223746939,8.883824193,-6.45,0.173,0.122,0.46875785465590836,-91.2446504,Animal
Sub-Humid,I-Predator,Coenagrionidae,3,NA,Invertebrate,-32.1682148,-98.2100327456176,7.803561613,-6.45,0.173,0.122,0.4343917913771157,-101.0118598,Animal
Sub-Humid,I-Filterer,Corbiculidae,2,NA,Invertebrate,-32.90239165,-94.32006435063796,5.578987088,-6.45,0.173,0.122,0.31607229912589563,-96.35873068,Animal
Sub-Humid,I-Filterer,Corbiculidae,2,NA,Invertebrate,-32.29801192,-79.22191335063798,5.894895426,-6.45,0.173,0.122,0.31607229912589563,-81.26057968,Animal
Sub-Humid,I-Filterer,Corbiculidae,2,NA,Invertebrate,-31.63556993,-88.51926400063797,6.236897949,-6.45,0.173,0.122,0.31607229912589563,-90.55793033,Animal
Sub-Humid,I-Predator,Corduliidae,2,NA,Invertebrate,-31.77882925,-66.73955344063798,9.019503884,-6.45,0.173,0.122,0.31607229912589563,-68.77821977,Animal
